TendenciaAnterior,Sube,Baja,Volumen
-0.24929011,1,0,55
-0.2182703,1,0,269
-0.19055939,1,0,264
-0.16794848,1,0,426
-0.16197112,0,1,317
-0.1418984,0,1,251
-0.1418269,0,1,278
-0.14129466,0,1,443
-0.13763344,0,1,158
-0.13572085,0,1,251
-0.13523626,1,0,108
-0.12491113,1,0,288
-0.11863446,1,0,284
-0.11573461,0,1,214
-0.11563066,1,0,296
-0.11363506,1,0,201
-0.112154126,1,0,244
-0.10980719,1,0,304
-0.10941994,0,1,198
-0.10785198,1,0,206
-0.107580304,1,0,101
-0.10518274,0,1,99
-0.103132725,0,1,244
-0.10181174,1,0,181
-0.09899339,0,1,285
-0.09837192,1,0,392
-0.09585315,0,1,149
-0.0943799,1,0,112
-0.09431279,1,0,108
-0.09360123,1,0,204
-0.091309905,1,0,117
-0.08896905,0,1,253
-0.08876771,1,0,337
-0.08852726,1,0,157
-0.087834716,1,0,140
-0.0877589,0,1,179
-0.08756316,1,0,223
-0.08677757,0,1,91
-0.086307704,0,1,221
-0.086031854,0,1,299
-0.08526075,1,0,80
-0.0848369,1,0,219
-0.08434296,0,1,92
-0.08350575,0,1,198
-0.083425105,0,1,99
-0.082199514,0,1,485
-0.08182299,1,0,251
-0.081498384,1,0,187
-0.07982296,1,0,211
-0.07914412,1,0,230
-0.07846129,1,0,158
-0.07660937,1,0,173
-0.07559639,1,0,147
-0.075363934,0,1,119
-0.07457775,1,0,251
-0.07431185,1,0,190
-0.074038744,1,0,10
-0.07281315,0,1,208
-0.072047085,1,0,362
-0.071554184,0,1,238
-0.07137504,0,1,224
-0.071285486,1,0,171
-0.07123262,0,1,162
-0.07091081,0,1,155
-0.0705598,1,0,174
-0.07035208,1,0,308
-0.07011902,0,1,114
-0.069324434,0,1,238
-0.06927043,1,0,179
-0.06921309,0,1,298
-0.068639904,1,0,201
-0.06860316,0,1,87
-0.06803787,1,0,190
-0.067251146,0,1,334
-0.06722027,0,1,240
-0.066951215,1,0,216
-0.06648123,1,0,45
-0.06642467,1,0,136
-0.065822124,0,1,191
-0.06549221,1,0,150
-0.06546044,1,0,141
-0.06379709,1,0,338
-0.063771844,0,1,106
-0.062312484,1,0,139
-0.0619843,1,0,127
-0.06192106,1,0,107
-0.06191218,1,0,157
-0.061782777,0,1,121
-0.0612877,0,1,233
-0.060667515,1,0,108
-0.060580313,1,0,420
-0.0602957,1,0,26
-0.060183704,1,0,84
-0.059725523,1,0,106
-0.059722543,1,0,101
-0.059437513,1,0,165
-0.05930674,1,0,267
-0.056538522,1,0,397
-0.056526184,0,1,156
-0.056283295,1,0,139
-0.05628273,1,0,407
-0.056262553,0,1,192
-0.055609345,0,1,86
-0.055428565,0,1,87
-0.055394053,0,1,307
-0.055369973,0,1,139
-0.054798007,0,1,181
-0.054367304,0,1,101
-0.05416912,1,0,317
-0.054142565,0,1,226
-0.053649127,1,0,196
-0.053458393,0,1,74
-0.05306524,0,1,171
-0.052467585,0,1,171
-0.052341938,1,0,264
-0.051861048,1,0,57
-0.051546037,1,0,84
